,Index
0,Addition of Alcohols Scope 1
1,Addition of Alcohols Scope 2
2,Addition of Alcohols Scope 3
3,Addition of Alcohols Scope 4
4,Addition of Alcohols Scope 5
5,Addition of Alcohols Scope 6
6,Addition of Alcohols Scope 7
7,Addition of Alcohols Scope 8
8,Addition of Alcohols Scope 9
9,Addition of Alcohols Scope 10
10,Addition of Alcohols Scope 11
11,Addition of Alcohols Scope 12
12,Addition of Alcohols Scope 13
13,Addition of Alcohols Scope 14
14,Addition of Alcohols Scope 15
15,Addition of Alcohols Scope 16
16,Addition of Alcohols Scope 17
17,Addition of Alcohols Scope 18
18,Addition of Alcohols Scope 19
19,Addition of Alcohols Scope 20
20,Addition of thiols Catalyst & solvent screening da 1
21,Addition of thiols Catalyst & solvent screening da 2
22,Addition of thiols Catalyst & solvent screening da 3
23,Addition of thiols Catalyst & solvent screening da 4
24,Addition of thiols Catalyst & solvent screening da 5
25,Addition of thiols Catalyst & solvent screening da 6
26,Addition of thiols Catalyst & solvent screening da 7
27,Addition of thiols Catalyst & solvent screening da 8
28,Addition of thiols Effect of catalyst loading 1
29,Addition of thiols Effect of catalyst loading 2
30,Addition of thiols Effect of catalyst loading 3
31,Addition of thiols Effect of catalyst loading 4
32,Addition of thiols Effect of catalyst loading 5
33,Addition of thiols Effect of catalyst loading 6
34,Addition of thiols Effect of catalyst loading 7
35,Addition of thiols Imine scope 1
36,Addition of thiols Imine scope 2
37,Addition of thiols Imine scope 3
38,Addition of thiols Imine scope 4
39,Addition of thiols Imine scope 5
40,Addition of thiols Imine scope 6
41,Addition of thiols Imine scope 7
42,Addition of thiols Imine scope 8
43,Addition of thiols Thiol scope 1
44,Addition of thiols Thiol scope 2
45,Addition of thiols Thiol scope 3
46,Addition of thiols Thiol scope 4
47,Addition of thiols Thiol scope 5
48,Addition of thiols Thiol scope 6
49,Addition of thiols Thiol scope 7
50,Addition of thiols Thiol scope 8
51,Addition of thiols Thiol scope 9
52,Addition of thiols Thiol scope 10
53,Addition of thiols Thiol scope 11
54,Hydrophosphonylation of imines Catalyst screening data 1
55,Hydrophosphonylation of imines Catalyst screening data 2
56,Hydrophosphonylation of imines Catalyst screening data 3
57,Hydrophosphonylation of imines Catalyst screening data 4
58,Hydrophosphonylation of imines Scope 1
59,Hydrophosphonylation of imines Scope 2
60,Hydrophosphonylation of imines Scope 3
61,Hydrophosphonylation of imines Scope 4
62,Hydrophosphonylation of imines Scope 5
63,Hydrophosphonylation of imines Scope 6
64,Hydrophosphonylation of imines Scope 7
65,Hydrophosphonylation of imines Scope 8
66,Hydrophosphonylation of imines Scope 9
67,Hydrophosphonylation of imines Scope 10
68,Hydrophosphonylation of imines Scope 11
69,Hydrophosphonylation of imines Scope 12
70,Addition of diazomethylphosphonates Optimization of catalyst and re 1
71,Addition of diazomethylphosphonates Optimization of catalyst and re 2
72,Addition of diazomethylphosphonates Optimization of catalyst and re 3
73,Addition of diazomethylphosphonates Optimization of catalyst and re 4
74,Addition of diazomethylphosphonates Optimization of catalyst and re 5
75,Addition of diazomethylphosphonates Optimization of catalyst and re 6
76,Addition of diazomethylphosphonates Optimization of catalyst and re 7
77,Addition of diazomethylphosphonates Optimization of catalyst and re 8
78,Addition of diazomethylphosphonates Optimization of catalyst and re 9
79,Addition of diazomethylphosphonates Optimization of catalyst and re 10
80,Addition of diazomethylphosphonates Optimization of catalyst and re 11
81,Addition of diazomethylphosphonates Optimization of catalyst and re 12
82,Addition of diazomethylphosphonates Optimization of catalyst and re 13
83,Addition of diazomethylphosphonates Optimization of catalyst and re 14
84,Addition of diazomethylphosphonates Optimization of catalyst and re 15
85,Addition of diazomethylphosphonates Optimization of catalyst and re 16
86,Addition of diazomethylphosphonates Optimization of catalyst and re 17
87,Addition of diazomethylphosphonates Optimization of catalyst and re 18
88,Addition of diazomethylphosphonates Imine scope 1
89,Addition of diazomethylphosphonates Imine scope 2
90,Addition of diazomethylphosphonates Imine scope 3
91,Addition of diazomethylphosphonates Imine scope 4
92,Addition of diazomethylphosphonates Imine scope 5
93,Addition of diazomethylphosphonates Imine scope 6
94,Addition of diazomethylphosphonates Imine scope 7
95,Addition of diazomethylphosphonates Imine scope 8
96,Addition of diazomethylphosphonates Imine scope 9
97,Addition of diazomethylphosphonates Imine scope 10
98,Addition of diazomethylphosphonates Imine scope 11
99,Addition of diazomethylphosphonates Imine scope 12
100,Addition of diazomethylphosphonates Imine scope 13
101,Addition of diazomethylphosphonates Imine scope 14
102,Addition of diazomethylphosphonates Imine scope 15
103,Addition of diazomethylphosphonates Imine scope 16
104,Addition of diazomethylphosphonates Imine scope 17
105,Addition of diazomethylphosphonates Imine scope 18
106,Addition of diazomethylphosphonates Imine scope 19
107,Addition of diazomethylphosphonates Imine scope 20
108,Addition of diazomethylphosphonates Imine scope 21
109,Addition of diazoacetamides Catalyst screening data 1
110,Addition of diazoacetamides Catalyst screening data 2
111,Addition of diazoacetamides Catalyst screening data 3
112,Addition of diazoacetamides Catalyst screening data 4
113,Addition of diazoacetamides Catalyst screening data 5
114,Addition of diazoacetamides Catalyst screening data 6
115,Addition of diazoacetamides Solvent screening data 1
116,Addition of diazoacetamides Solvent screening data 2
117,Addition of diazoacetamides Solvent screening data 3
118,Addition of diazoacetamides Solvent screening data 4
119,Addition of diazoacetamides Solvent screening data 5
120,Addition of diazoacetamides Solvent screening data 6
121,Addition of diazoacetamides Solvent screening data 7
122,Addition of diazoacetamides Solvent screening data 8
123,Addition of diazoacetamides Solvent screening data 9
124,Addition of diazoacetamides Substrate(s) scope 1
125,Addition of diazoacetamides Substrate(s) scope 2
126,Addition of diazoacetamides Substrate(s) scope 3
127,Addition of diazoacetamides Substrate(s) scope 4
128,Addition of diazoacetamides Substrate(s) scope 5
129,Addition of diazoacetamides Substrate(s) scope 6
130,Addition of diazoacetamides Substrate(s) scope 7
131,Addition of diazoacetamides Substrate(s) scope 8
132,Addition of diazoacetamides Substrate(s) scope 9
133,Addition of diazoacetamides Substrate(s) scope 10
134,Addition of diazoacetamides Substrate(s) scope 11
135,Addition of diazoacetamides Substrate(s) scope 12
136,Addition of diazoacetamides Substrate(s) scope 13
137,Addition of diazoacetamides Substrate(s) scope 14
138,Strecker Reaction (with aldimines) Catalyst screening data 1
139,Strecker Reaction (with aldimines) Catalyst screening data 2
140,Strecker Reaction (with aldimines) Catalyst screening data 3
141,Strecker Reaction (with aldimines) Catalyst screening data 4
142,Strecker Reaction (with aldimines) Catalyst screening data 5
143,Strecker Reaction (with aldimines) Catalyst screening data 6
144,Strecker Reaction (with aldimines) Catalyst screening data 7
145,Strecker Reaction (with aldimines) Solvent screening data 1
146,Strecker Reaction (with aldimines) Solvent screening data 2
147,Strecker Reaction (with aldimines) Solvent screening data 3
148,Strecker Reaction (with aldimines) Solvent screening data 4
149,Strecker Reaction (with aldimines) Solvent screening data 5
150,Strecker Reaction (with aldimines) Imine scope 1
151,Strecker Reaction (with aldimines) Imine scope 2
152,Strecker Reaction (with aldimines) Imine scope 3
153,Strecker Reaction (with aldimines) Imine scope 4
154,Strecker Reaction (with aldimines) Imine scope 5
155,Strecker Reaction (with aldimines) Imine scope 6
156,Strecker Reaction (with aldimines) Imine scope 7
157,Strecker Reaction (with aldimines) Imine scope 8
158,Strecker Reaction (with aldimines) Imine scope 9
159,Strecker Reaction (with aldimines) Imine scope 10
160,Strecker Reaction (with aldimines) Imine scope 11
161,Strecker Reaction (with aldimines) Imine scope 12
162,Strecker Reaction (with aldimines) Imine scope 13
163,Strecker Reaction (with aldimines) Imine scope 14
164,Strecker Reaction (with aldimines) Imine scope 15
165,Peroxidation of imines Catalyst screening data 1
166,Peroxidation of imines Catalyst screening data 2
167,Peroxidation of imines Catalyst screening data 3
168,Peroxidation of imines Catalyst screening data 4
169,Peroxidation of imines Solvent screening data 1
170,Peroxidation of imines Solvent screening data 2
171,Peroxidation of imines Solvent screening data 3
172,Peroxidation of imines Solvent screening data 4
173,Peroxidation of imines Solvent screening data 5
174,Peroxidation of imines Substrate(s) scope 1
175,Peroxidation of imines Substrate(s) scope 2
176,Peroxidation of imines Substrate(s) scope 3
177,Peroxidation of imines Substrate(s) scope 4
178,Peroxidation of imines Substrate(s) scope 5
179,Peroxidation of imines Substrate(s) scope 6
180,Peroxidation of imines Substrate(s) scope 7
181,Peroxidation of imines Substrate(s) scope 8
182,Peroxidation of imines Substrate(s) scope 9
183,Peroxidation of imines Substrate(s) scope 10
184,Peroxidation of imines Substrate(s) scope 11
185,Peroxidation of imines Substrate(s) scope 12
186,Peroxidation of imines Substrate(s) scope 13
187,Peroxidation of imines Substrate(s) scope 14
188,Peroxidation of imines Substrate(s) scope 15
189,Peroxidation of imines Substrate(s) scope 16
190,"Transfer Hydrogenation of b,g-Alkynyl a-Imino Esters Catalyst screening and reaction 1"
191,"Transfer Hydrogenation of b,g-Alkynyl a-Imino Esters Catalyst screening and reaction 2"
192,"Transfer Hydrogenation of b,g-Alkynyl a-Imino Esters Catalyst screening and reaction 3"
193,"Transfer Hydrogenation of b,g-Alkynyl a-Imino Esters Catalyst screening and reaction 4"
194,"Transfer Hydrogenation of b,g-Alkynyl a-Imino Esters Catalyst screening and reaction 5"
195,"Transfer Hydrogenation of b,g-Alkynyl a-Imino Esters Catalyst screening and reaction 6"
196,"Transfer Hydrogenation of b,g-Alkynyl a-Imino Esters Catalyst screening and reaction 7"
197,"Transfer Hydrogenation of b,g-Alkynyl a-Imino Esters Catalyst screening and reaction 8"
198,"Transfer Hydrogenation of b,g-Alkynyl a-Imino Esters Catalyst screening and reaction 9"
199,"Transfer Hydrogenation of b,g-Alkynyl a-Imino Esters Catalyst screening and reaction 10"
200,"Transfer Hydrogenation of b,g-Alkynyl a-Imino Esters Catalyst screening and reaction 11"
201,"Transfer Hydrogenation of b,g-Alkynyl a-Imino Esters Scope 1"
202,"Transfer Hydrogenation of b,g-Alkynyl a-Imino Esters Scope 2"
203,"Transfer Hydrogenation of b,g-Alkynyl a-Imino Esters Scope 3"
204,"Transfer Hydrogenation of b,g-Alkynyl a-Imino Esters Scope 4"
205,"Transfer Hydrogenation of b,g-Alkynyl a-Imino Esters Scope 5"
206,"Transfer Hydrogenation of b,g-Alkynyl a-Imino Esters Scope 6"
207,"Transfer Hydrogenation of b,g-Alkynyl a-Imino Esters Scope 7"
208,"Transfer Hydrogenation of b,g-Alkynyl a-Imino Esters Scope 8"
209,"Transfer Hydrogenation of b,g-Alkynyl a-Imino Esters Scope 9"
210,"Transfer Hydrogenation of b,g-Alkynyl a-Imino Esters Scope 10"
211,Transfer Hydrogenation of Enamides Scope 1
212,Transfer Hydrogenation of Enamides Scope 2
213,Transfer Hydrogenation of Enamides Scope 3
214,Transfer Hydrogenation of Enamides Scope 4
215,Transfer Hydrogenation of Enamides Scope 5
216,Transfer Hydrogenation of Enamides Scope 6
217,Transfer Hydrogenation of Enamides Scope 7
218,Transfer Hydrogenation of Enamides Scope 8
219,Transfer Hydrogenation of Enamides Scope 9
220,Transfer Hydrogenation of Enamides Scope 10
221,Transfer Hydrogenation of N-aryl imines (List) Catalyst screening data 1
222,Transfer Hydrogenation of N-aryl imines (List) Catalyst screening data 2
223,Transfer Hydrogenation of N-aryl imines (List) Catalyst screening data 3
224,Transfer Hydrogenation of N-aryl imines (List) Catalyst screening data 4
225,Transfer Hydrogenation of N-aryl imines (List) Catalyst screening data 5
226,Transfer Hydrogenation of N-aryl imines (List) Catalyst screening data 6
227,Transfer Hydrogenation of N-aryl imines (List) Imine scope 1
228,Transfer Hydrogenation of N-aryl imines (List) Imine scope 2
229,Transfer Hydrogenation of N-aryl imines (List) Imine scope 3
230,Transfer Hydrogenation of N-aryl imines (List) Imine scope 4
231,Transfer Hydrogenation of N-aryl imines (List) Imine scope 5
232,Transfer Hydrogenation of N-aryl imines (List) Imine scope 6
233,Transfer Hydrogenation of N-aryl imines (List) Imine scope 7
234,Transfer Hydrogenation of N-aryl imines (List) Imine scope 8
235,Transfer Hydrogenation of N-aryl imines (List) Imine scope 9
236,Transfer Hydrogenation of N-aryl imines (List) Imine scope 10
237,Transfer Hydrogenation of N-aryl imines (List) Imine scope 11
238,Transfer Hydrogenation of N-aryl imines (Rueping) Catalyst screening data 1
239,Transfer Hydrogenation of N-aryl imines (Rueping) Catalyst screening data 2
240,Transfer Hydrogenation of N-aryl imines (Rueping) Catalyst screening data 3
241,Transfer Hydrogenation of N-aryl imines (Rueping) Catalyst screening data 4
242,Transfer Hydrogenation of N-aryl imines (Rueping) Catalyst screening data 5
243,Transfer Hydrogenation of N-aryl imines (Rueping) Catalyst screening data 6
244,Transfer Hydrogenation of N-aryl imines (Rueping) Solvent screening data 1
245,Transfer Hydrogenation of N-aryl imines (Rueping) Solvent screening data 2
246,Transfer Hydrogenation of N-aryl imines (Rueping) Solvent screening data 3
247,Transfer Hydrogenation of N-aryl imines (Rueping) Solvent screening data 4
248,Transfer Hydrogenation of N-aryl imines (Rueping) Solvent screening data 5
249,Transfer Hydrogenation of N-aryl imines (Rueping) Imine scope 1
250,Transfer Hydrogenation of N-aryl imines (Rueping) Imine scope 2
251,Transfer Hydrogenation of N-aryl imines (Rueping) Imine scope 3
252,Transfer Hydrogenation of N-aryl imines (Rueping) Imine scope 4
253,Transfer Hydrogenation of N-aryl imines (Rueping) Imine scope 5
254,Transfer Hydrogenation of N-aryl imines (Rueping) Imine scope 6
255,Transfer Hydrogenation of N-aryl imines (Rueping) Imine scope 7
256,Transfer Hydrogenation of N-aryl imines (Rueping) Imine scope 8
257,Transfer Hydrogenation of N-aryl imines (Rueping) Imine scope 9
258,Transfer Hydrogenation of N-aryl imines (Rueping) Imine scope 10
259,Transfer Hydrogenation of N-aryl imines (Rueping) Imine scope 11
260,Transfer Hydrogenation of N-aryl imines (Rueping) Imine scope 12
261,Transfer Hydrogenation of N-aryl imines (Rueping) Imine scope 13
262,Transfer Hydrogenation of trifluoromethyl ketimines Benzothiazoline screening data 1
263,Transfer Hydrogenation of trifluoromethyl ketimines Benzothiazoline screening data 2
264,Transfer Hydrogenation of trifluoromethyl ketimines Benzothiazoline screening data 3
265,Transfer Hydrogenation of trifluoromethyl ketimines Benzothiazoline screening data 4
266,Transfer Hydrogenation of trifluoromethyl ketimines Benzothiazoline screening data 5
267,Transfer Hydrogenation of trifluoromethyl ketimines Imine scope 1
268,Transfer Hydrogenation of trifluoromethyl ketimines Imine scope 2
269,Transfer Hydrogenation of trifluoromethyl ketimines Imine scope 3
270,Transfer Hydrogenation of trifluoromethyl ketimines Imine scope 4
271,Transfer Hydrogenation of trifluoromethyl ketimines Imine scope 5
272,Transfer Hydrogenation of trifluoromethyl ketimines Imine scope 6
273,Transfer Hydrogenation of trifluoromethyl ketimines Imine scope 7
274,Transfer Hydrogenation of trifluoromethyl ketimines Imine scope 8
275,Transfer Hydrogenation of trifluoromethyl ketimines Imine scope 9
276,Transfer Hydrogenation of N-aryl imines by benzothiazoline Catalyst screening data 1
277,Transfer Hydrogenation of N-aryl imines by benzothiazoline Catalyst screening data 2
278,Transfer Hydrogenation of N-aryl imines by benzothiazoline Catalyst screening data 3
279,Transfer Hydrogenation of N-aryl imines by benzothiazoline Catalyst screening data 4
280,Transfer Hydrogenation of N-aryl imines by benzothiazoline Catalyst screening data 5
281,Transfer Hydrogenation of N-aryl imines by benzothiazoline Catalyst screening data 6
282,Transfer Hydrogenation of N-aryl imines by benzothiazoline Benzothiazoline screening data 1
283,Transfer Hydrogenation of N-aryl imines by benzothiazoline Benzothiazoline screening data 2
284,Transfer Hydrogenation of N-aryl imines by benzothiazoline Benzothiazoline screening data 3
285,Transfer Hydrogenation of N-aryl imines by benzothiazoline Benzothiazoline screening data 4
286,Transfer Hydrogenation of N-aryl imines by benzothiazoline Benzothiazoline screening data 5
287,Transfer Hydrogenation of N-aryl imines by benzothiazoline Benzothiazoline screening data 6
288,Transfer Hydrogenation of N-aryl imines by benzothiazoline Imine scope 1
289,Transfer Hydrogenation of N-aryl imines by benzothiazoline Imine scope 2
290,Transfer Hydrogenation of N-aryl imines by benzothiazoline Imine scope 3
291,Transfer Hydrogenation of N-aryl imines by benzothiazoline Imine scope 4
292,Transfer Hydrogenation of N-aryl imines by benzothiazoline Imine scope 5
293,Transfer Hydrogenation of N-aryl imines by benzothiazoline Imine scope 6
294,Transfer Hydrogenation of N-aryl imines by benzothiazoline Imine scope 7
295,Transfer Hydrogenation of N-aryl imines by benzothiazoline Imine scope 8
296,Transfer Hydrogenation of N-aryl imines by benzothiazoline Imine scope 9
297,Transfer Hydrogenation of N-aryl imines by benzothiazoline Imine scope 10
298,Transfer Hydrogenation of N-aryl imines by benzothiazoline Imine scope 11
299,Transfer Hydrogenation of N-aryl imines by benzothiazoline Imine scope 12
300,Transfer Hydrogenation of ethyl ketimines Benzothiazoline screening data 1
301,Transfer Hydrogenation of ethyl ketimines Benzothiazoline screening data 2
302,Transfer Hydrogenation of ethyl ketimines Benzothiazoline screening data 3
303,Transfer Hydrogenation of ethyl ketimines Benzothiazoline screening data 4
304,Transfer Hydrogenation of ethyl ketimines Benzothiazoline screening data 5
305,Transfer Hydrogenation of ethyl ketimines Benzothiazoline screening data 6
306,Transfer Hydrogenation of ethyl ketimines Benzothiazoline screening data 7
307,Transfer Hydrogenation of ethyl ketimines Scope 1 benzothiazoline 1
308,Transfer Hydrogenation of ethyl ketimines Scope 1 benzothiazoline 2
309,Transfer Hydrogenation of ethyl ketimines Scope 1 benzothiazoline 3
310,Transfer Hydrogenation of ethyl ketimines Scope 1 benzothiazoline 4
311,Transfer Hydrogenation of ethyl ketimines Scope 1 benzothiazoline 5
312,Transfer Hydrogenation of ethyl ketimines Scope 1 benzothiazoline 6
313,Transfer Hydrogenation of ethyl ketimines Scope 1 benzothiazoline 7
314,Transfer Hydrogenation of ethyl ketimines Scope 1 benzothiazoline 8
315,Transfer Hydrogenation of ethyl ketimines Scope 1 benzothiazoline 9
316,Transfer Hydrogenation of ethyl ketimines Scope 1 benzothiazoline 10
317,Transfer Hydrogenation of ethyl ketimines Scope 1 benzothiazoline 11
318,Transfer Hydrogenation of ethyl ketimines Scope 1 benzothiazoline 12
319,Transfer Hydrogenation of ethyl ketimines Scope 1 benzothiazoline 13
320,Transfer Hydrogenation of ethyl ketimines Scope 1 benzothiazoline 14
321,Transfer Hydrogenation of ethyl ketimines Scope 1 benzothiazoline 15
322,Transfer Hydrogenation of ethyl ketimines Scope 1 benzothiazoline 16
323,Transfer Hydrogenation of ethyl ketimines Scope 2 dihydropyridine 1
324,Transfer Hydrogenation of ethyl ketimines Scope 2 dihydropyridine 2
325,Transfer Hydrogenation of ethyl ketimines Scope 2 dihydropyridine 3
326,Transfer Hydrogenation of ethyl ketimines Scope 2 dihydropyridine 4
327,Transfer Hydrogenation of ethyl ketimines Scope 2 dihydropyridine 5
328,Transfer Hydrogenation of ethyl ketimines Scope 2 dihydropyridine 6
329,Transfer Hydrogenation of ethyl ketimines Scope 2 dihydropyridine 7
330,Transfer Hydrogenation of ethyl ketimines Scope 2 dihydropyridine 8
331,Transfer Hydrogenation of ethyl ketimines Scope 2 dihydropyridine 9
332,Transfer Hydrogenation of ethyl ketimines Scope 2 dihydropyridine 10
333,Transfer Hydrogenation of ethyl ketimines Scope 2 dihydropyridine 11
334,Transfer Hydrogenation of ethyl ketimines Scope 2 dihydropyridine 12
335,Transfer Hydrogenation of ethyl ketimines Scope 2 dihydropyridine 13
336,Transfer Hydrogenation of ethyl ketimines Scope 2 dihydropyridine 14
337,Transfer Hydrogenation of ethyl ketimines Scope 2 dihydropyridine 15
338,Transfer Hydrogenation of ethyl ketimines Scope 2 dihydropyridine 16
339,Strecker Reaction (with ketimines) Catalyst screening data 1
340,Strecker Reaction (with ketimines) Catalyst screening data 2
341,Strecker Reaction (with ketimines) Catalyst screening data 3
342,Strecker Reaction (with ketimines) Catalyst screening data 4
343,Strecker Reaction (with ketimines) Catalyst screening data 5
344,Strecker Reaction (with ketimines) Catalyst screening data 6
345,Strecker Reaction (with ketimines) Solvent data 1
346,Strecker Reaction (with ketimines) Solvent data 2
347,Strecker Reaction (with ketimines) Solvent data 3
348,Strecker Reaction (with ketimines) Imine scope 1
349,Strecker Reaction (with ketimines) Imine scope 2
350,Strecker Reaction (with ketimines) Imine scope 3
351,Strecker Reaction (with ketimines) Imine scope 4
352,Strecker Reaction (with ketimines) Imine scope 5
353,Strecker Reaction (with ketimines) Imine scope 6
354,Strecker Reaction (with ketimines) Imine scope 7
355,Strecker Reaction (with ketimines) Imine scope 8
356,Strecker Reaction (with ketimines) Imine scope 9
357,Strecker Reaction (with ketimines) Imine scope 10
